product_id,handle,title,vendor,status,tags,current_product_type,current_category,suggested_product_type,suggested_category_id,suggested_category_name,rule,confidence,needs_review
9995653153089,gamephyt™-l-teanina-n-acetil-l-tirosina-dynamine™-macu-lz™-huperzina-a-astaxantina-alpha-gpc-geniuspure®-rhodiola-ginkgo-biloba-100-1-cafeina-anhidra-b6-y-b12-power-up-de-cellx-90-capsulas,"| Power Up de Cellx | GamePhyt™ , L-Teanina, N-Acetil L-Tirosina, Dynamine™, Macu-LZ™ , Huperzina A, Astaxantina, Alpha GPC GeniusPure®, Rhodiola, Ginkgo Biloba 100:1, Cafeina Anhidra, B6 y B12  90 Cápsulas",Cellx,ACTIVE,duracion 30 | vitadeals,,Uncategorized,Aminoácidos y BCAA,gid://shopify/TaxonomyCategory/hb-1-9-6-1-2,Single Amino Acid Supplements,aminoacido-antes-que-VIT_B,media,si
9995654791489,dileucina-dl185®-proleucin®-de-cellx-30-capsulas,| Proleucin® de Cellx | Dileucina DL185® | Recuperación muscular |  45 Cápsulas,Cellx,ACTIVE,duracion 30 | vitadeals,,Uncategorized,,gid://shopify/TaxonomyCategory/hb-1-9-6,Vitamins & Supplements,sin-senal,baja,si
9995656003905,quercetina-bromelina-vitamina-c-y-bioperine®-quercetina-de-cellx-60-capsulas,"| Quercetina de Cellx | Quercetina, Bromelina, Vitamina C y Bioperine® 60 Cápsulas",Cellx,ACTIVE,duracion 30 | vitadeals,,Uncategorized,Enzimas digestivas,gid://shopify/TaxonomyCategory/hb-1-9-6-4-3,Digestive Enzymes,enzimas,alta,no
9995656331585,trans-resveratrol-egcg-pteroestilbeno-quercetina-y-bioperine®-resveratrol-de-cellx-60-capsulas,"| Resveratrol de Cellx |Trans-Resveratrol, EGCG, Pteroestilbeno, Quercetina y Bioperine® | 60 Cápsulas",Cellx,ACTIVE,duracion 30 | vitadeals,,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Herbal Supplements,"Longevidad: NAD+, NMN y resveratrol",gid://shopify/TaxonomyCategory/hb-1-9-6,Vitamins & Supplements,longevidad,media,si
9995656855873,tmg-quatrefolic®-betaina-hci-nac-vitamina-b6-y-b12-tmg-de-cellx-60-capsulas,"| FolateActive de Cellx | TMG, Quatrefolic®, Betaina HCI, NAC, Vitamina B6 y B12 | 60 Cápsulas",Cellx,ACTIVE,duracion 30 | vitadeals,,Uncategorized,Aminoácidos y BCAA,gid://shopify/TaxonomyCategory/hb-1-9-6-1-2,Single Amino Acid Supplements,aminoacido-antes-que-VIT_B,media,si
9995657806145,dihidroberberina-glucovantage®-ala-nmn-truebroc®-trans-reveratrol-quercetina-glutation-nac-fisetina-coq10-fucoidan-espermidina-pqq-astaxantina-l-seleniometionina-vitamina-c-e-d3-y-k2-vitaage-de-cellx,"| VitaAge de Cellx | Dihidroberberina GlucoVantage®, ALA, NMN, TrueBroc®, Trans-Reveratrol, Quercetina, Glutation, NAC, Fisetina, CoQ10, Fucoidan, Espermidina, PQQ, Astaxantina, L-Seleniometionina, Vitamina C, E, D3 y K2 90 Cápsulas",Cellx,ACTIVE,duracion 30 | vitadeals,,Uncategorized,Multivitamínicos,gid://shopify/TaxonomyCategory/hb-1-9-6-7,Multivitamin Supplements,combo-0min-3vit,media,si
9999947759937,zinc-infantil-organico-liquido-2-fl-oz-60ml-mary-ruth-s,Zinc Iónico Orgánico Líquido para Infantes| Apoyo Inmune | 60 ml,Vitaminate,ACTIVE,duracion 30,,Uncategorized,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,mineral-ZINC,alta,no
9999948218689,zinc-iinico-liquido-4-fl-oz-120ml-mary-ruth-s,"Zinc Iónico Orgánico Líquido, MaryRuth’s| Energía celular y regeneración | 120 ml",Vitaminate,ACTIVE,duracion 60,,Uncategorized,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,mineral-ZINC,alta,no
10090616062273,zinc-20-mg-superlabs-apoyo-inmunologico-100-capsulas,Zinc 20 mg Superlabs | Apoyo inmunológico | 100 Cápsulas,Superlabs,ACTIVE,,,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Minerals,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,mineral-ZINC,alta,no
10236777595201,zincox-bisglicinato-de-zinc-matter-apoyo-inmune-60-capsulas,Zincox Bisglicinato de Zinc Matter | Apoyo Inmune | 60 cápsulas,You Matter,ACTIVE,,,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Minerals > Zinc,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,mineral-ZINC,alta,no
10238541037889,zinc-pepcil-gi-matter-capsulas-digestion-y-mucosa,"Zinc Pepcil GI de Matter | Bienestar digestivo, favorece la mucosa gástrica | 60 cápsulas",You Matter,ACTIVE,PRO,,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Digestive Supplements,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,mineral-ZINC,alta,no
10277076336961,zinc-l-carnosina-pepzin-gi-doctors-best-renovacion-celular-bienestar-digestivo-120-capsulas,"Zinc L-Carnosina PepZin GI Doctor's Best | Renovación celular, bienestar digestivo | 120 Cápsulas vegetales",OLSEGO GROUP,ACTIVE,,,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Digestive Supplements,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,mineral-ZINC,alta,no
10369381138753,prenat-core-cellx-femme-multivitaminico-prenatal-metilfolato-y-minerales-quelados-90-capsulas,Prenat Core CellX Femme Multivitamínico Prenatal Metilfolato y Minerales Quelados | 90 cápsulas,Cellx,ACTIVE,nuevo,,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Multivitamin Supplements,Multivitamínicos,gid://shopify/TaxonomyCategory/hb-1-9-6-7,Multivitamin Supplements,multivitaminico-explicito,alta,no
