product_id,product_title,variant_id,variant_title,sku,ean,price_mxn,cost_mxn,brand,vendor_shopify,commission_percent
9665177551169,Reishi Hongo Adaptógeno 500mg de 5H8 Nutrition | Ayuda a reducir el estrés y la ansiedad | 90 cápsulas,49836372590913,90 cápasulas,VHMX01399,7502287150421,246.75,,5H8 Nutrition,5H8 Nutrition,0
9665213595969,"Resveratrol, Biotina, Vitamina C y Selenio 1160mg por porción de 5H8 Nutrition | Apoyo Cardiovascular - Longevidad | 90 Cápsulas",49180074639681,90 cápsulas,VHMX01407,7500463823305,306.75,,5H8 Nutrition,5H8 Nutrition,0
9664829587777,Vinagre de Manzana + Magnesio 500mg de 5H8 Nutrition | Formulado para apoyar la detoxificación del cuerpo y promover el control de peso | 120 Cápsulas,49177844351297,120 cápsulas,VHMX01394,7500463823398,224.25,,5H8 Nutrition,5H8 Nutrition,0
9665210712385,"Vinagre de Manzana, Cúrcuma, Cardo Mariano y Aloe Vera DTOX de 5H8 Nutrition | Bienestar Digestivo - Desintoxicación | 90 Cápsulas",49180065988929,90 cápsulas,VHMX01406,7502287150223,239.25,,5H8 Nutrition,5H8 Nutrition,0
9665184432449,"Vitamina B1, B6, Calcio, Magnesio y Enzimas Digestivas NZ Max Plus de 5H8 Nutrition | Apoyo de la función Articular y Ósea | 120 Cápsulas",49179953987905,120 cápsulas,VHMX01413,7502287150155,231.75,,5H8 Nutrition,5H8 Nutrition,0
9664700842305,Vitamina C + Magnesio 500mg de 5H8 Nutrition - C 300 | Fortalece el Sistema Inmune - Antioxidante | 120 Cápsulas,49177376096577,120 cápsulas,VHMX01385,7502287150070,187.5,,5H8 Nutrition,5H8 Nutrition,0
9664841515329,"Zinc, Vitamina B1 y B6 250mg de 5H8 Nutrition ZN 20 | Refuerza el Sistema Inmune, la Piel - Energía | 120 Cápsulas",49177898746177,120 cápsulas,VHMX01395,7502287150087,149.25,,5H8 Nutrition,5H8 Nutrition,0
9655481368897,Enzimas Digestivas Ciruela y Papaya Happibelly 05 ABITÜ | Bienestar Digestivo Diario | 30 Cápsulas Veganas,49836370428225,30 cápsulas,VHMX01372,07500464505859,509.15,,Abitu,Abitu,0
9655469736257,Glicinato de Magnesio 560mg Alta Biodisponibilidad de Abitu | Relajación Muscular y Nerviosa| 30 cápsulas veganas,49836370297153,30 cápsulas,VHMX01371,07500464505842,440.3,,Abitu,Abitu,0
9685069857089,Arándano Negro 500mg de Adaptoheal | Apoyo saludable para el Tracto Urinario - Antioxidante Natural | 150 Cápsulas Vegetales,49259776147777,150 cápsulas,VHMX01453,7503028754403,608.75,,AdaptoHeal,AdaptoHeal,0
9685075984705,"Ashwagandha 500mg de Adapto Heal | Reduce Cortisol, Balance Hormonal | 150 Cápsulas Vegetales",49259792826689,150 cápsulas,VHMX01454,7555964253960,575.78,,AdaptoHeal,AdaptoHeal,0
9685081129281,Astrágalo 500mg de Adapto Heal | Refuerzo del Sistema Inmune - Antioxidante | 150 Cápsulas Vegetales,49259824251201,150 cápsulas,VHMX01455,7503028754137,682.57,,AdaptoHeal,AdaptoHeal,0
9686364094785,Cardo Mariano 500mg de Adapto Heal CRDM | Formulado para promover la detoxificación del hígado y apoyar la función hepática | 150 Cápsulas Vegetales,49263466086721,150 cápsulas,VHMX01456,7503028754229,676.13,,AdaptoHeal,AdaptoHeal,0
9687506813249,"Castaño de Indias 500mg de Adapto Heal | Apoyo Cardiovascular, Circulación Sanguínea | 150 Cápsulas Vegetales",49267372294465,150 cápsulas,VHMX01458,7555333142383,787.39,,AdaptoHeal,AdaptoHeal,0
9686557393217,Chitosan 500mg de Adapto Heal - Fibra Natural para el Control de Peso - Metabolismo Saludable | 150 Cápsulas Vegetales,49264179118401,150 cápsulas,VHMX01459,7503028754304,1244.18,,AdaptoHeal,AdaptoHeal,0
9686489825601,Citrato de Magnesio 500mg de Adapto Heal | Promueve la relajación muscular - Ayuda a reducir calambres y tensiones | 150 Cápsulas Vegetales,49263905243457,90 cápsulas,VHMX01460,7503028754359,741.63,,AdaptoHeal,AdaptoHeal,0
9686508929345,"Colágeno Hidrolizado 500mg de Adapto Heal HIC | Cuidado de la Piel, Cabello y Uñas - Articulaciones | 150 Cápsulas Vegetales",49263952789825,150 cápsulas,VHMX01461,7503028754373,694.63,,AdaptoHeal,AdaptoHeal,0
9687482138945,Cordyceps Hongo Adaptógeno 500mg de Adapto Heal | Refuerza el sistema inmunológico - Promueve la función respiratoria | 150 Cápsulas Vegetales,49267226706241,150 cápsulas,VHMX01462,7503028754267,1004.03,,AdaptoHeal,AdaptoHeal,0
9687490822465,DHEA 100mg de Adaptoheal | Fortalecimiento Óseo y Longevidad | 150 Cápsulas Vegetales,49267288932673,150 cápsulas,VHMX01463,7503028754311,1724.44,,AdaptoHeal,AdaptoHeal,0
9687496425793,Diente de León 500mg de Adaptoheal | Bienestar Digestivo - Desintoxicación | 150 Cápsulas Vegetales,49267327992129,150 cápsulas,VHMX01464,7503028754205,528.98,,AdaptoHeal,AdaptoHeal,0
9687532732737,Dong Quai 500mg de Adaptoheal | Diseñado para apoyar la función hormonal y reproductiva femenina | 150 Cápsulas Vegetales,49267513327937,150 cápsulas,VHMX01465,7503028754342,797,,AdaptoHeal,AdaptoHeal,0
9687552000321,Equinácea 500mg de Adaptoheal | Apoyo de la función Inmunitaria - Propiedades Antiinflamatorias | 150 Cápsulas Vegetales,49267596067137,150 cápsulas,VHMX01466,7503028754113,616.13,,AdaptoHeal,AdaptoHeal,0
9692755722561,Extracto de Palo de Arco Hierba -  500mg de Adaptoheal |  Apoyo al sistema inmunológico - Mantener el cuerpo libre de radicales libres | 150 Cápsulas Vegetales,49290686628161,150 cápsulas,VHMX01482,7503028754236,589.07,,AdaptoHeal,AdaptoHeal,0
9687567171905,Ginkgo Biloba 500mg de Adaptoheal | Apoyo de la función Cerebral - Antioxidante | 150 Cápsulas Vegetales,49267698696513,150 cápsulas,VHMX01468,7503028754397,568.32,,AdaptoHeal,AdaptoHeal,0
9689023021377,Ginseng Brasileño 500mg de Adaptoheal | Bienestar Mental y Cognitivo - Fortalece Sistema Inmunológico | 150 Cápsulas Vegetales,49276763111745,150 cápsulas,VHMX01469,7503028754090,792.66,,AdaptoHeal,AdaptoHeal,0
9688996020545,Ginseng Siberiano 500mg de Adaptoheal | Formulado para aumentar la energía y apoyar la resistencia al estrés | 150 Cápsulas Vegetales,49276661793089,150 cápsulas,VHMX01471,7503028754069,1068.99,,AdaptoHeal,AdaptoHeal,0
9692129460545,Golden Seal Hierba 500mg Adaptoheal | Promueve la función Inmune y Digestiva | 150 Cápsulas Vegetales,49288416166209,150 cápsulas,VHMX01472,7503028754007,896.84,,AdaptoHeal,AdaptoHeal,0
9689052905793,Gotu Kola  Adaptóheal  | Potencia la Energía - Promueve la función Cognitiva y la Memoria | 150 Cápsulas Vegetales,49276835987777,150 cápsulas,VHMX01473,7503028754199,568.32,,AdaptoHeal,AdaptoHeal,0
